变量1,变量2,方法,样本量,相关系数,p值,样本口径,解释限制
消费额,点击量,Spearman,1337,0.958164071802,0,点击量>0；浏览量可为0；其余指标按成对非缺失,统计关联，不表示因果关系
CPC,浏览深度,Spearman,1337,0.310365519476,3.0330142586e-31,点击量>0；浏览量可为0；其余指标按成对非缺失,统计关联，不表示因果关系
CPC,跳出率,Spearman,1337,-0.168128650308,6.17258383803e-10,点击量>0；浏览量可为0；其余指标按成对非缺失,统计关联，不表示因果关系
CPC,平均访问时长_秒,Spearman,1337,0.216074952614,1.37215151716e-15,点击量>0；浏览量可为0；其余指标按成对非缺失,统计关联，不表示因果关系
点击量,浏览量,Spearman,1337,0.919153866798,0,点击量>0；浏览量可为0；其余指标按成对非缺失,统计关联，不表示因果关系
浏览深度,跳出率,Spearman,1337,-0.512905193563,1.36302965208e-90,点击量>0；浏览量可为0；其余指标按成对非缺失,统计关联，不表示因果关系
浏览深度,平均访问时长_秒,Spearman,1337,0.64570966315,1.38592318987e-158,点击量>0；浏览量可为0；其余指标按成对非缺失,统计关联，不表示因果关系
