方案ID,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
63563817,0.00,0.00,0.00,0.00,214.83,0.00,2745.36,3061.90,1807.49,1477.23,2834.35,3083.44
495403620,13419.08,17729.25,8950.07,8923.17,35943.85,6920.80,12971.67,31083.50,18840.59,17906.33,20855.27,22287.32
495817671,153.51,30980.85,64393.02,17678.97,24437.19,7839.75,6646.48,16597.48,1726.73,457.97,557.51,400.58
500635396,69149.61,68463.34,20853.69,54087.49,50808.65,58242.03,46172.08,111595.09,92469.55,66534.52,99215.27,103935.44
525368335,21804.86,31174.36,108777.25,0.00,9471.95,2398.83,1375.21,2770.38,1000.46,1430.84,942.26,351.09
