模型,最大点击滞后天数,因变量,主要解释变量,点击系数单位,控制变量,样本量,R2,调整R2,协方差估计,AIC,BIC,Durbin_Watson,点击滞后项联合Wald统计量,点击滞后项联合检验自由度,点击滞后项联合p值,点击滞后项累计系数,累计系数HAC标准误,点击滞后项累计p值,点击滞后项最大VIF,点击滞后项平均VIF
主模型_lag0至3,3,当天新注册数,当天及前1至3天总点击量,每1000次点击,星期虚拟变量（周一为基准）；月份虚拟变量（1月为基准）,362,0.71648890633,0.698977927015,Newey-West HAC(maxlags=7),4220.57942831,4306.19560097,0.781466821168,104.544020128,4,1.05938435535e-21,95.5655877972,13.0089262189,1.52516819635e-12,5.16063312818,4.26633124346
敏感性模型_lag0至7,7,当天新注册数,当天及前1至7天总点击量,每1000次点击,星期虚拟变量（周一为基准）；月份虚拟变量（1月为基准）,358,0.721648525988,0.700688324632,Newey-West HAC(maxlags=7),4178.0584924,4278.95235005,0.766782629845,120.762327017,8,2.30726458396e-22,95.5687814774,15.6898141081,3.10173870985e-09,5.24200933092,4.80385519841
