模型方案,维度,低簇中心,高簇中心,分类阈值,阈值定义,KMeans_K,random_state,n_init,簇内平方和,boundary距离分位数,boundary距离阈值
主模型_CRITIC+一维KMeans,成本,0.290601447692,0.702315954215,0.496458700954,两个KMeans簇中心中点,2,2026,200,27.3564028762,0.05,0.016452887054
主模型_CRITIC+一维KMeans,效益,0.305945355698,0.676589726314,0.491267541006,两个KMeans簇中心中点,2,2026,200,14.1645663101,0.05,0.0170187816885
A_等权重+一维KMeans,成本,0.290601445511,0.702315956323,0.496458700917,两个KMeans簇中心中点,2,2026,200,27.3564016959,,
A_等权重+一维KMeans,效益,0.31509468177,0.69080655179,0.50295061678,两个KMeans簇中心中点,2,2026,200,14.3085380829,,
B_CRITIC权重+中位数阈值,成本,,,0.501497031991,得分中位数,,,,,,
B_CRITIC权重+中位数阈值,效益,,,0.507705329909,得分中位数,,,,,,
