模型,因变量,因变量单位,样本量,R2,调整R2,AIC,BIC,Durbin_Watson,协方差估计,假日变量参考组,月份参考组,星期参考组,五个主要假日变量联合Wald统计量,五个主要假日变量联合自由度,五个主要假日变量联合p值,同日点击系数_每1000次,同日点击p值,同日点击95%CI下限,同日点击95%CI上限
总消费额~假日类型+月份+星期,总消费额,元,365,0.497411075061,0.463512115315,6586.7569322,6680.35446868,0.775408940676,Newey-West HAC(maxlags=7),非节假日,1月,周一,135.521756565,5,1.60042260643e-27,,,,
总点击量~假日类型+月份+星期,总点击量,次,365,0.546278954879,0.515676069138,6091.33392161,6184.9314581,0.817676858863,Newey-West HAC(maxlags=7),非节假日,1月,周一,176.643026123,5,2.78786980814e-36,,,,
CTR~假日类型+月份+星期,CTR,百分点,365,0.690331013962,0.669444249508,1522.50478478,1616.10232127,0.689637833561,Newey-West HAC(maxlags=7),非节假日,1月,周一,70.8935242512,5,6.67790980131e-14,,,,
CPC~假日类型+月份+星期,CPC,元/次,365,0.589842931894,0.562178378913,343.465572185,437.063108671,0.797672169087,Newey-West HAC(maxlags=7),非节假日,1月,周一,154.857707205,5,1.23361632133e-31,,,,
新注册数~同日总点击+假日类型+月份+星期,新注册数,人,365,0.717937210479,0.698026895925,4257.40122493,4354.89865877,0.828354992685,Newey-West HAC(maxlags=7),非节假日,1月,周一,61.5211413897,5,5.89128379151e-12,80.3357087684,3.76382379501e-11,57.2230822967,103.44833524
