星期几,样本天数,总消费额_均值,总消费额_中位数,总点击量_均值,总点击量_中位数,CTR_均值,CTR_中位数,CPC_均值,CPC_中位数,新注册数_均值,新注册数_中位数
周一,52,1951.604423,1313.085000,1222.153846,898.500000,0.043372,0.026672,1.551019,1.428732,143.019231,109.500000
周二,52,4248.400577,4338.370000,2544.903846,2704.500000,0.046571,0.036428,1.686321,1.689143,266.596154,279.500000
周三,53,4705.325472,4929.720000,2709.264151,2932.000000,0.048845,0.038085,1.772259,1.713112,278.735849,285.000000
周四,52,4808.694038,4946.200000,2783.076923,2762.000000,0.048319,0.036477,1.781079,1.752400,275.788462,289.500000
周五,52,4698.567692,4815.000000,2717.153846,2727.500000,0.047711,0.037255,1.788198,1.795641,269.730769,280.500000
周六,52,4510.040000,4343.550000,2582.346154,2499.000000,0.046609,0.035731,1.800001,1.756298,243.365385,252.500000
周日,52,2408.992115,1628.135000,1443.134615,1012.500000,0.044132,0.026994,1.601385,1.476115,158.038462,122.500000
